form,rank,lemma,group_id,method
ich,1,ich,ich,ungrouped
ist,2,sein,sein,participle
die,3,der,der,dictionary
nicht,4,nicht,nicht,ungrouped
sie,5,sie,sie,ungrouped
tom,6,tom,tom,ungrouped
das,7,das,das,ungrouped
der,8,der,der,ungrouped
du,9,du,du,ungrouped
zu,10,zu,zu,ungrouped
es,11,es,es,ungrouped
er,12,er,er,ungrouped
in,13,in,in,ungrouped
und,14,und,und,ungrouped
ein,15,ein,ein,ungrouped
hat,16,haben,haben,participle
den,17,den,den,ungrouped
wir,18,wir,wir,ungrouped
sich,19,sich,sich,ungrouped
dass,20,dass,dass,ungrouped
eine,21,ein,ein,declension
mit,22,mit,mit,ungrouped
auf,23,auf,auf,ungrouped
was,24,was,was,ungrouped
habe,25,haben,haben,participle
mir,26,ich,ich,dictionary
wie,27,wie,wie,ungrouped
ihr,28,ihr,ihr,ungrouped
sind,29,sein,sein,participle
von,30,von,von,ungrouped
war,31,sein,sein,participle
mich,32,ich,ich,dictionary
haben,33,haben,haben,ungrouped
an,34,an,an,ungrouped
maria,35,maria,maria,ungrouped
als,36,als,als,ungrouped
dem,37,der,der,dictionary
einen,38,ein,ein,declension
so,39,so,so,ungrouped
für,40,für,für,ungrouped
kann,41,können,können,dictionary
im,42,im,im,ungrouped
wenn,43,wenn,wenn,ungrouped
man,44,man,man,ungrouped
noch,45,noch,noch,ungrouped
aus,46,aus,aus,ungrouped
sein,47,sein,sein,ungrouped
um,48,um,um,ungrouped
wird,49,werden,werden,participle
bin,50,sein,sein,participle
hast,51,haben,haben,participle
nach,52,nach,nach,ungrouped
dich,53,du,du,dictionary
dir,54,du,du,dictionary
uns,55,wir,wir,dictionary
sehr,56,sehr,sehr,ungrouped
nur,57,nur,nur,ungrouped
aber,58,aber,aber,ungrouped
meine,59,mein,mein,declension
schon,60,schon,schon,ungrouped
hier,61,hier,hier,ungrouped
immer,62,immer,immer,ungrouped
werden,63,werden,werden,ungrouped
mehr,64,mehr,mehr,ungrouped
etwas,65,etwas,etwas,ungrouped
des,66,des,des,ungrouped
mein,67,mein,mein,ungrouped
vor,68,vor,vor,ungrouped
auch,69,auch,auch,ungrouped
keine,70,kein,kein,declension
ihn,71,ihn,ihn,ungrouped
einem,72,ein,ein,declension
warum,73,warum,warum,ungrouped
diese,74,dieser,dieser,dictionary
am,75,am,am,ungrouped
weiß,76,weiß,weiß,ungrouped
bei,77,bei,bei,ungrouped
zum,78,zum,zum,ungrouped
will,79,wollen,wollen,dictionary
bist,80,sein,sein,participle
nichts,81,nicht,nicht,plural
gut,82,gut,gut,ungrouped
über,83,über,über,ungrouped
seine,84,sein,sein,declension
ihm,85,ihm,ihm,ungrouped
viel,86,viel,viel,ungrouped
heute,87,heute,heute,ungrouped
einer,88,ein,ein,declension
oder,89,oder,oder,ungrouped
hatte,90,haben,haben,participle
tun,91,tun,tun,ungrouped
alles,92,all,all,declension
muss,93,muss,muss,ungrouped
können,94,können,können,ungrouped
alle,95,all,all,declension
wurde,96,werden,werden,participle
gibt,97,geben,geben,dictionary
da,98,da,da,ungrouped
leben,99,leben,leben,ungrouped
euch,100,ihr,ihr,dictionary
ihre,101,ihr,ihr,declension
wo,102,wo,wo,ungrouped
daß,103,daß,daß,ungrouped
machen,104,machen,machen,ungrouped
zeit,105,zeit,zeit,ungrouped
dieses,106,dieser,dieser,dictionary
sagen,107,sagen,sagen,ungrouped
jetzt,108,jetzt,jetzt,ungrouped
wer,109,wer,wer,ungrouped
werde,110,werden,werden,verb
bitte,111,bitt,bitt,declension
gehen,112,gehen,gehen,ungrouped
nie,113,nie,nie,ungrouped
viele,114,viel,viel,declension
mal,115,mal,mal,ungrouped
kein,116,kein,kein,ungrouped
doch,117,doch,doch,ungrouped
ihnen,118,sie,sie,dictionary
dieser,119,dieser,dieser,dictionary
menschen,120,mensch,mensch,declension
gesagt,121,sagen,sagen,participle
würde,122,werden,werden,participle
deine,123,dein,dein,declension
wieder,124,wieder,wieder,ungrouped
sagte,125,sagen,sagen,dictionary
möchte,126,mögen,mögen,dictionary
geld,127,geld,geld,ungrouped
morgen,128,morgen,morgen,ungrouped
einmal,129,einmal,einmal,ungrouped
geht,130,gehen,gehen,verb
zur,131,zur,zur,ungrouped
hätte,132,haben,haben,participle
kannst,133,können,können,dictionary
müssen,134,müssen,müssen,ungrouped
wirklich,135,wirklich,wirklich,ungrouped
sehen,136,sehen,sehen,ungrouped
tag,137,tag,tag,ungrouped
macht,138,machen,machen,verb
habt,139,haben,haben,participle
wissen,140,wissen,wissen,ungrouped
ohne,141,ohne,ohne,dictionary
kommt,142,kommen,kommen,verb
dann,143,dann,dann,ungrouped
zwei,144,zwei,zwei,ungrouped
drei,145,drei,drei,ungrouped
hause,146,haus,haus,declension
selbst,147,selben,selben,verb
waren,148,sein,sein,participle
seinen,149,sein,sein,declension
bis,150,bis,bis,ungrouped
frau,151,frau,frau,ungrouped
kommen,152,kommen,kommen,ungrouped
essen,153,essen,essen,ungrouped
haus,154,hau,hau,plural
glaube,155,glaub,glaub,declension
durch,156,durch,durch,ungrouped
sei,157,sein,sein,dictionary
gesehen,158,sehen,sehen,participle
wäre,159,sein,sein,participle
wollte,160,wollen,wollen,dictionary
gerade,161,gerade,gerade,ungrouped
arbeit,162,arbeit,arbeit,ungrouped
denn,163,denn,denn,ungrouped
mann,164,mann,mann,ungrouped
gerne,165,gern,gern,declension
mary,166,mary,mary,ungrouped
dein,167,dein,dein,ungrouped
welt,168,welt,welt,ungrouped
besser,169,bess,bess,declension
buch,170,buch,buch,ungrouped
helfen,171,helfen,helfen,ungrouped
sprechen,172,sprechen,sprechen,ungrouped
soll,173,soll,soll,ungrouped
ins,174,ins,ins,ungrouped
mag,175,mögen,mögen,dictionary
lange,176,lang,lang,declension
keinen,177,kein,kein,declension
gemacht,178,machen,machen,participle
lassen,179,lassen,lassen,ungrouped
meinen,180,mein,mein,declension
toms,181,tom,tom,plural
kinder,182,kind,kind,declension
ob,183,ob,ob,ungrouped
wollen,184,wollen,wollen,ungrouped
ganz,185,ganz,ganz,ungrouped
ja,186,ja,ja,ungrouped
auto,187,auto,auto,ungrouped
oft,188,oft,oft,ungrouped
gestern,189,gestern,gestern,ungrouped
diesem,190,dieser,dieser,dictionary
willst,191,wollen,wollen,dictionary
anderen,192,anderer,anderer,dictionary
weg,193,weg,weg,ungrouped
liebe,194,lieb,lieb,declension
eines,195,ein,ein,declension
seiner,196,sein,sein,declension
einfach,197,einfach,einfach,ungrouped
vater,198,vater,vater,ungrouped
wann,199,wann,wann,ungrouped
ab,200,ab,ab,ungrouped
ihren,201,ihr,ihr,declension
boston,202,boston,boston,ungrouped
französisch,203,französisch,französisch,ungrouped
diesen,204,dieser,dieser,dictionary
dort,205,dort,dort,ungrouped
weil,206,weil,weil,ungrouped
konnte,207,können,können,dictionary
meiner,208,mein,mein,declension
niemand,209,niemand,niemand,ungrouped
mutter,210,mutter,mutter,ungrouped
sollte,211,sollen,sollen,dictionary
damit,212,damit,damit,ungrouped
sagt,213,sagen,sagen,verb
schule,214,schul,schul,declension
leute,215,leut,leut,declension
seinem,216,sein,sein,declension
uhr,217,uhr,uhr,ungrouped
könnte,218,können,können,dictionary
lernen,219,lernen,lernen,ungrouped
gehört,220,hören,hören,participle
unter,221,unter,unter,ungrouped
kam,222,kommen,kommen,dictionary
ging,223,gehen,gehen,dictionary
unsere,224,unser,unser,declension
seit,225,seit,seit,dictionary
getan,226,tun,tun,participle
jeden,227,jeder,jeder,dictionary
vom,228,vom,vom,ungrouped
hund,229,hund,hund,ungrouped
andere,230,andere,andere,ungrouped
frage,231,frag,frag,declension
mensch,232,mensch,mensch,ungrouped
jeder,233,jeder,jeder,dictionary
jahre,234,jahr,jahr,declension
wasser,235,wasser,wasser,ungrouped
meinem,236,mein,mein,declension
sicher,237,sicher,sicher,ungrouped
vielleicht,238,vielleicht,vielleicht,ungrouped
sondern,239,sondern,sondern,ungrouped
sprache,240,sprache,sprache,dictionary
sah,241,sehen,sehen,dictionary
tut,242,tun,tun,dictionary
geben,243,geben,geben,ungrouped
beim,244,beim,beim,ungrouped
jemand,245,jemand,jemand,ungrouped
zimmer,246,zimmer,zimmer,ungrouped
jahr,247,jahr,jahr,ungrouped
freund,248,freund,freund,ungrouped
abend,249,abend,abend,ungrouped
zurück,250,zurück,zurück,ungrouped
gar,251,gar,gar,ungrouped
stadt,252,stadt,stadt,ungrouped
allein,253,allein,allein,ungrouped
sieht,254,sehen,sehen,dictionary
gute,255,gut,gut,declension
davon,256,davon,davon,ungrouped
wirst,257,werden,werden,participle
ihrer,258,ihr,ihr,declension
seid,259,sein,sein,participle
schnell,260,schnell,schnell,ungrouped
sollen,261,sollen,sollen,ungrouped
recht,262,recht,recht,ungrouped
fragen,263,frag,frag,declension
mädchen,264,mädchen,mädchen,ungrouped
jahren,265,jahr,jahr,declension
angst,266,angst,angst,ungrouped
gab,267,geben,geben,dictionary
bleiben,268,bleiben,bleiben,ungrouped
denke,269,denk,denk,declension
wahrheit,270,wahrheit,wahrheit,ungrouped
schön,271,schön,schön,ungrouped
gern,272,gern,gern,ungrouped
wohl,273,wohl,wohl,ungrouped
vergessen,274,vergessen,vergessen,ungrouped
finden,275,finden,finden,ungrouped
steht,276,stehen,stehen,verb
glauben,277,glaub,glaub,declension
musst,278,müssen,müssen,dictionary
fast,279,fast,fast,ungrouped
nacht,280,nacht,nacht,ungrouped
fehler,281,fehler,fehler,dictionary
kaufen,282,kaufen,kaufen,ungrouped
gegen,283,gegen,gegen,ungrouped
warten,284,warten,warten,ungrouped
kind,285,kind,kind,ungrouped
wahr,286,wahr,wahr,ungrouped
paar,287,paar,paar,ungrouped
fahren,288,fahren,fahren,ungrouped
augen,289,auge,auge,dictionary
woche,290,woche,woche,ungrouped
weißt,291,weißt,weißt,ungrouped
lass,292,lassen,lassen,dictionary
problem,293,problem,problem,ungrouped
zusammen,294,zusammen,zusammen,ungrouped
eltern,295,eltern,eltern,ungrouped
alt,296,alt,alt,ungrouped
johannes,297,johann,johann,declension
neue,298,neu,neu,declension
englisch,299,englisch,englisch,ungrouped
deinen,300,dein,dein,declension
spricht,301,sprechen,sprechen,dictionary
tür,302,tür,tür,ungrouped
gekauft,303,kaufen,kaufen,participle
land,304,land,land,ungrouped
genug,305,genug,genug,ungrouped
hilfe,306,hilfe,hilfe,dictionary
freunde,307,freund,freund,declension
welche,308,welch,welch,declension
sollten,309,sollen,sollen,dictionary
ganze,310,ganz,ganz,declension
erst,311,erst,erst,ungrouped
passiert,312,passieren,passieren,verb
reden,313,reden,reden,ungrouped
darüber,314,darüber,darüber,ungrouped
daran,315,daran,daran,ungrouped
hören,316,hören,hören,ungrouped
dies,317,die,die,plural
darf,318,dürfen,dürfen,dictionary
bekommen,319,bekommen,bekommen,ungrouped
lesen,320,lesen,lesen,ungrouped
schwer,321,schwer,schwer,ungrouped
unser,322,unser,unser,ungrouped
ganzen,323,ganz,ganz,declension
wort,324,wort,wort,ungrouped
große,325,groß,groß,declension
dachte,326,denken,denken,dictionary
je,327,je,je,ungrouped
bruder,328,bruder,bruder,ungrouped
scheint,329,scheinen,scheinen,verb
glücklich,330,glücklich,glücklich,ungrouped
zwischen,331,zwischen,zwischen,ungrouped
gleich,332,gleich,gleich,ungrouped
ihrem,333,ihr,ihr,declension
darauf,334,darauf,darauf,ungrouped
gekommen,335,kommen,kommen,participle
dafür,336,dafür,dafür,ungrouped
braucht,337,brauchen,brauchen,verb
liegt,338,liegen,liegen,verb
spielen,339,spielen,spielen,ungrouped
ende,340,end,end,declension
gewesen,341,sein,sein,participle
s,342,s,s,ungrouped
bald,343,bald,bald,ungrouped
während,344,während,während,dictionary
wusste,345,wissen,wissen,dictionary
dazu,346,dazu,dazu,ungrouped
gehe,347,gehen,gehen,verb
lieber,348,lieb,lieb,declension
kaffee,349,kaffee,kaffee,dictionary
früher,350,früh,früh,declension
nein,351,nein,nein,ungrouped
nehmen,352,nehmen,nehmen,ungrouped
einige,353,einig,einig,declension
gefällt,354,fällen,fällen,participle
gegangen,355,gehen,gehen,participle
arbeiten,356,arbeiten,arbeiten,ungrouped
hoffe,357,hoffen,hoffen,dictionary
gefallen,358,fallen,fallen,participle
heißt,359,heißen,heißen,verb
brauchen,360,brauchen,brauchen,ungrouped
solltest,361,sollen,sollen,dictionary
australien,362,australien,australien,ungrouped
schwester,363,schwester,schwester,ungrouped
gefunden,364,gefund,gefund,declension
geschichte,365,geschichte,geschichte,dictionary
lang,366,lang,lang,ungrouped
verstehen,367,verstehen,verstehen,ungrouped
einzige,368,einzig,einzig,declension
meinung,369,meinung,meinung,ungrouped
überhaupt,370,überhaupt,überhaupt,ungrouped
katze,371,katze,katze,dictionary
denken,372,denk,denk,declension
spät,373,spät,spät,ungrouped
bett,374,bett,bett,dictionary
bücher,375,buch,buch,dictionary
verloren,376,verloren,verloren,ungrouped
zug,377,zug,zug,ungrouped
familie,378,familie,familie,ungrouped
worden,379,werden,werden,participle
gott,380,gott,gott,ungrouped
letzte,381,letzt,letzt,declension
deiner,382,dein,dein,declension
wegen,383,wegen,wegen,ungrouped
brief,384,brief,brief,ungrouped
dabei,385,dabei,dabei,ungrouped
glück,386,glück,glück,ungrouped
dinge,387,ding,ding,declension
satz,388,satz,satz,ungrouped
hand,389,hand,hand,ungrouped
hatten,390,haben,haben,participle
lehrer,391,lehren,lehren,dictionary
junge,392,jung,jung,declension
letzten,393,letzt,letzt,declension
leicht,394,leicht,leicht,ungrouped
wurden,395,werden,werden,participle
neuen,396,neu,neu,declension
genau,397,genau,genau,ungrouped
allen,398,all,all,declension
zehn,399,zehn,zehn,ungrouped
großen,400,groß,groß,declension
groß,401,groß,groß,ungrouped
wenig,402,wenig,wenig,ungrouped
namen,403,nam,nam,declension
schreiben,404,schreiben,schreiben,ungrouped
sag,405,sagen,sagen,dictionary
fertig,406,fertig,fertig,ungrouped
fenster,407,fenster,fenster,ungrouped
kaum,408,kaum,kaum,ungrouped
gegessen,409,essen,essen,dictionary
finde,410,finden,finden,verb
brauche,411,brauchen,brauchen,verb
kennt,412,kennen,kennen,dictionary
geschrieben,413,schreiben,schreiben,participle
kenne,414,kennen,kennen,dictionary
sohn,415,sohn,sohn,ungrouped
bringen,416,bringen,bringen,ungrouped
eigentlich,417,eigentlich,eigentlich,ungrouped
danke,418,dank,dank,declension
trinken,419,trinken,trinken,ungrouped
tage,420,tag,tag,declension
hin,421,hin,hin,ungrouped
fünf,422,fünf,fünf,ungrouped
richtig,423,richtig,richtig,ungrouped
bevor,424,bevor,bevor,ungrouped
straße,425,straße,straße,ungrouped
kopf,426,kopf,kopf,ungrouped
guten,427,gut,gut,declension
beide,428,beide,beide,ungrouped
halten,429,halten,halten,ungrouped
früh,430,früh,früh,ungrouped
ersten,431,erst,erst,declension
treffen,432,treffen,treffen,ungrouped
geworden,433,werden,werden,participle
ziemlich,434,ziemlich,ziemlich,ungrouped
komme,435,kommen,kommen,verb
sofort,436,sofort,sofort,ungrouped
weiter,437,weit,weit,declension
erste,438,erst,erst,declension
leid,439,leid,leid,ungrouped
hätten,440,haben,haben,participle
manchmal,441,manchmal,manchmal,ungrouped
müde,442,müde,müde,ungrouped
schlafen,443,schlafen,schlafen,ungrouped
bus,444,bus,bus,ungrouped
wichtig,445,wichtig,wichtig,ungrouped
mache,446,machen,machen,verb
sonst,447,sonst,sonst,ungrouped
weit,448,weit,weit,ungrouped
nahm,449,nehmen,nehmen,dictionary
nun,450,nun,nun,ungrouped
arzt,451,arzt,arzt,ungrouped
stunden,452,stund,stund,declension
bisschen,453,bisschen,bisschen,ungrouped
tisch,454,tisch,tisch,ungrouped
guter,455,gut,gut,declension
