lemma,form,rank,tier,count,forms
ich,ich,1,core,192104,ich;mir;mich
sein,ist,2,core,130683,ist;sind;war;sein;bin;bist
der,die,3,core,121118,die;der;dem;deren
nicht,nicht,4,core,114029,nicht;nichts
sie,sie,5,core,113708,sie;ihnen
das,das,7,core,100750,das
du,du,9,core,85543,du;dich;dir
zu,zu,10,core,82877,zu
es,es,11,core,76013,es
er,er,12,core,66901,er
in,in,13,core,64317,in
und,und,14,core,63496,und
ein,ein,15,core,59731,ein;eine;einen;einem;einer;eines
haben,hat,16,core,51374,hat;habe;haben;hast;hatte;hätte
den,den,17,core,42877,den;denen
wir,wir,18,core,41048,wir;uns
sich,sich,19,core,40235,sich
dass,dass,20,core,40163,dass
mit,mit,22,core,38767,mit
auf,auf,23,core,38396,auf;aufs
was,was,24,core,35900,was
wie,wie,27,core,33549,wie
ihr,ihr,28,core,33500,ihr;euch;ihre;ihren;ihrer;ihrem
von,von,30,core,28783,von
an,an,34,core,26552,an
als,als,36,core,25936,als
so,so,39,core,24426,so
für,für,40,core,24083,für;fürs
können,kann,41,core,23761,kann;können;kannst;konnte;könnte;könnten
im,im,42,core,23514,im
wenn,wenn,43,core,23208,wenn
man,man,44,core,22590,man
noch,noch,45,core,21466,noch
aus,aus,46,core,19310,aus
um,um,48,core,18060,um
werden,wird,49,core,17930,wird;werden;wurde;werde;würde;wirst
nach,nach,52,core,16958,nach
sehr,sehr,56,core,15402,sehr
nur,nur,57,core,14817,nur
aber,aber,58,core,14542,aber
mein,meine,59,core,13652,meine;mein;meinen;meiner;meinem;meines
schon,schon,60,core,13514,schon
hier,hier,61,core,13345,hier
immer,immer,62,core,13140,immer
mehr,mehr,64,core,12888,mehr
etwas,etwas,65,core,12689,etwas
des,des,66,core,12653,des
vor,vor,68,core,11925,vor
auch,auch,69,core,11903,auch
kein,keine,70,core,11625,keine;kein;keinen;keiner;keinem;keines
ihn,ihn,71,core,11552,ihn
warum,warum,73,core,10778,warum
dieser,diese,74,core,10683,diese;dieses;dieser;diesem;diesen
am,am,75,core,10641,am
weiß,weiß,76,core,10337,weiß;weiße;weißen;weißes
bei,bei,77,core,10202,bei
zum,zum,78,core,10201,zum
wollen,will,79,core,10118,will;wollte;wollen;willst;wollt;wollten
gut,gut,82,core,9985,gut;gute;guten;guter;besten;gutes
über,über,83,core,9936,über;übers
ihm,ihm,85,core,9735,ihm
viel,viel,86,core,9718,viel;viele;vielen;vieler
heute,heute,87,core,9691,heute
oder,oder,89,core,9304,oder
tun,tun,91,core,9274,tun;getan;tut;tue;tust;tu
all,alles,92,core,9259,alles;alle;allen;all;aller
muss,muss,93,core,9238,muss
geben,gibt,97,core,8917,gibt;geben;gab;gib;gegeben;gebe
da,da,98,core,8915,da
leben,leben,99,core,8775,leben;lebt;lebens;lebe;lebte;gelebt
wo,wo,102,core,8771,wo
daß,daß,103,core,8531,daß
machen,machen,104,core,8501,machen;macht;gemacht;mache;machte;mach
zeit,zeit,105,core,8320,zeit;zeiten
sagen,sagen,107,core,8225,sagen;gesagt;sagte;sagt;sag;sage
jetzt,jetzt,108,core,8218,jetzt
wer,wer,109,core,8206,wer;wem;wen
bitt,bitte,111,core,8116,bitte;bitten
gehen,gehen,112,core,8050,gehen;geht;ging;gehe;gegangen;gehst
nie,nie,113,core,7928,nie
mal,mal,115,core,7724,mal
doch,doch,117,core,7627,doch
mensch,menschen,120,core,7166,menschen;mensch
dein,deine,123,core,6654,deine;dein;deinen;deiner;deinem;deines
wieder,wieder,124,core,6432,wieder
mögen,möchte,126,core,6206,möchte;mag;möchtest;mögen;möchten;magst
geld,geld,127,core,6131,geld;geldes
morgen,morgen,128,core,6031,morgen;morgens
einmal,einmal,129,core,6012,einmal
zur,zur,131,core,5845,zur
müssen,müssen,134,core,5667,müssen;musst;musste;mußt;müsst;müßt
wirklich,wirklich,135,core,5621,wirklich
sehen,sehen,136,core,5618,sehen;gesehen;sah;sieht;sehe;siehst
tag,tag,137,core,5587,tag;tage;tagen;tages
wissen,wissen,140,core,5341,wissen;wusste;wußte;wüsste;gewusst;wisst
ohne,ohne,141,core,5300,ohne
kommen,kommt,142,core,5201,kommt;kommen;kam;gekommen;komme;komm
dann,dann,143,core,5161,dann
zwei,zwei,144,core,5139,zwei
drei,drei,145,core,5026,drei
haus,hause,146,core,5001,hause;häuser;hauses
selben,selbst,147,core,4950,selbst
bis,bis,150,core,4920,bis
frau,frau,151,core,4894,frau;frauen
essen,essen,153,core,4885,essen;gegessen;isst;esse;esst;ißt
hau,haus,154,core,4856,haus
glaub,glaube,155,core,4849,glaube;glauben
durch,durch,156,core,4808,durch;durchs
gerade,gerade,161,core,4677,gerade
arbeit,arbeit,162,core,4676,arbeit
denn,denn,163,core,4660,denn
mann,mann,164,core,4592,mann;männer;mannes;männern
gern,gerne,165,core,4588,gerne;gern
welt,welt,168,core,4546,welt
bess,besser,169,core,4537,besser
buch,buch,170,core,4519,buch;bücher;buches;büchern
helfen,helfen,171,core,4512,helfen;geholfen;hilft;half;helfe;hilf
sprechen,sprechen,172,core,4497,sprechen;spricht;gesprochen;spreche;sprach;sprichst
soll,soll,173,core,4452,soll
ins,ins,174,core,4429,ins
lang,lange,176,core,4412,lange;lang;länger;langen;langer;langem
lassen,lassen,179,core,4397,lassen;lass;lässt;ließ;lasst;gelassen
tom,toms,181,core,4228,toms
kind,kinder,182,core,4214,kinder;kind;kindern;kindes
ob,ob,183,core,4148,ob
ganz,ganz,185,core,4122,ganz;ganze;ganzen;ganzes
ja,ja,186,core,4096,ja
auto,auto,187,core,4095,auto;autos
oft,oft,188,core,4050,oft
gestern,gestern,189,core,4040,gestern
anderer,anderen,192,core,3945,anderen;anderer;anderem
weg,weg,193,core,3941,weg;wege
lieb,liebe,194,core,3920,liebe;lieber;lieben;lieb
einfach,einfach,197,core,3858,einfach;einfacher;einfache;einfachen
vater,vater,198,core,3846,vater;vaters
wann,wann,199,core,3801,wann
ab,ab,200,core,3787,ab
französisch,französisch,203,core,3696,französisch;französische;französischen
dort,dort,205,core,3665,dort
weil,weil,206,core,3647,weil;weile
niemand,niemand,209,core,3538,niemand;niemanden;niemandem
mutter,mutter,210,core,3507,mutter
sollen,sollte,211,core,3455,sollte;sollen;sollten;solltest;solltet;sollst
damit,damit,212,core,3415,damit
schul,schule,214,core,3397,schule;schulen
leut,leute,215,core,3352,leute
uhr,uhr,217,core,3347,uhr
lernen,lernen,219,core,3285,lernen;gelernt;lernt;lerne;lernte;lernst
hören,gehört,220,core,3278,gehört;hören;hörte;hört;hör;höre
unter,unter,221,core,3265,unter
unser,unsere,224,core,3216,unsere;unser;unserer;unseren;unserem;unseres
seit,seit,225,core,3204,seit
jeder,jeden,227,core,3148,jeden;jeder;jede;jedes;jedem
vom,vom,228,core,3147,vom
hund,hund,229,core,3143,hund;hunde;hunden
andere,andere,230,core,3132,andere;anderes
frag,frage,231,core,3099,frage;fragen
jahr,jahre,234,core,3066,jahre;jahr;jahren;jahres
