form,sid,alt,de_text
ich,2991389,7048156;9559188;9559189,Ich benötige zweihundertfünfzig Milliliter Sahne.
ist,9440966,987688;2353541;2372052,Ist Mesut Özil Enzo Ferraris Reinkarnation?
die,2163223,8301156;966094;3059468,"Rauch vertreibt die Bienen, Sünde die Engel."
nicht,4785097,1328323;2898772;2130740,"Trink, aber sauf nicht; disputier', aber rauf nicht."
sie,7885789,10854107;13115236;353375,Sie verteilten bunte Säckchen mit verschiedenstem süßen Zeug.
das,1891413,723602;797204;13629889,Das Warnschild besagt: Hochspannung! Vorsicht! Lebensgefahr!
du,750359,1218176;1709275;1716018,"Wusstest du, dass du komische Socken anhattest?"
zu,1766630,2143161;11488856;9400839,Zu hohe Geschwindigkeit führt oftmals zu Autounfällen.
es,8295137,9945761;1730384;2394427,Grundsätzlich bedarf es einer größeren Beteiligung.
er,7781934,861114;2787903;3386354,Er schnitzte eine hölzerne Buddha-Statue.
in,2079205,752955;8634428;2492287,In leeren Häusern regieren Poltergeister.
und,9988114,1515776;12214235;1652604,Bombardierten Außerirdische Sodom und Gomorrha?
ein,2595813,4873832;13654866;3070334,Otohime schenkte Urashima Tarō ein hübsches Schatzkästlein.
hat,628828,637870;9400848;12384703,Osamu Dazai hat Selbstmord begangen.
den,8298040,10295242;6057910;2808499,Albert Einstein erhielt 1921 den Nobelpreis.
wir,403837,754155;4844102;7079010,Wir besichtigten historisch berühmte Orte.
sich,1741007,4861708;1204069;8292880,Schweigend umarmen sich übermüdete Reisende.
dass,5763479,2638323;2326107;750359,"Stimmt es, dass illegale Einwanderer interessierten Bürgern Arbeitsplätze wegnehmen?"
mit,4332376,564411;8726142;1516500,Kekse mit Senf schmecken scheußlich.
auf,11185399,13440342;7272941;1409579,"Kroatien heisst ""Hrvatska"" auf Kroatisch."
was,8098635,8833621;8861109;13943115,Was bedeuten die verwendeten Symbole?
wie,8633462,12121182;2305036;6547263,Wie begann Algeriens ökonomische Krise?
ihr,2249896,3000484;7043391;2389753,Ihr Gesang beschämt einen professionellen Sänger.
von,5919845,8702322;11783258;10782052,Science-Fiction-Leser sind Anhänger von hypothetischen Szenarien.
an,7550173,8295017;524521;851648,Banken verlangen höhere Zinsen für Kredite an riskante Kunden.
als,2339726,3274473;4468249;804485,Nudisten erachten Nacktheit als normal.
so,8775146,9525182;9702243;2798303,So ein Dreck! Ein Mist!
für,1660148,7550173;12416170;639073,Ungarn gewährleistet Voraussetzungen für einen fairen wirtschaftlichen Wettbewerb.
kann,1179260,748807;7795802;2233152,Defensives Fahrverhalten kann Unfälle verhindern.
im,4926463,12495841;1409286;3760574,Im Korridor herrschte absolute Finsternis.
wenn,13906322,13048615;2365718;5731397,"Wenn Hans weint, weint auch Skura."
man,8312266,8875634;5488158;2877856,Man musste schweres Gerät einsetzen.
noch,9495694,11660535;5488137;6309121,Spielst du noch „Pokémon Go“?
aus,989639,1368849;2152376;773034,Hunderte Schiffe liefen aus den amerikanischen Häfen aus.
um,5759070,7326123;1737224;2996037,"Vorsicht! Der Christbaum kippt um, kruzitürken nochmal!"
wird,2869872,12869242;2720377;3232137,"Schweden wird auf Schwedisch ""ˈsværjə"" ausgesprochen."
nach,2637093,3367087;8705987;551822,Estland verbessert den Kinderschutz nach norwegischem Vorbild.
sehr,748689,8742841;8803047;6991206,Dudelsäcke erzeugen einen sehr seltsamen Klang.
nur,2927317,3252996;6374805;9584387,Nur die Unwissenden verachten die Bildung.
aber,728333,8767797;10853748;4785097,"""Nattō"" stinkt furchtbar, aber schmeckt ausgezeichnet."
meine,2761356,6134876;10983876;3542064,Meine Netzpostadresse lautet hans@karlolo.net.
schon,11539381,1994686;9312585;9815926,Mein Sonnenbrand wirft schon Blasen.
hier,772325,8181867;13922366;8669994,"Hier ist Rhodos, hier springe!"
immer,7023714,8787740;2485364;5083266,Erneuerbare Energie wird immer günstiger.
mehr,605425,14007700;7840393;13823976,"Desto mehr du arbeitest, desto mehr verdienst du."
etwas,12569257,12569258;12855244;1953176,"Dachtest du, du wärst etwas Besonderes?"
des,2778201,2791444;5488155;2446227,Die Krise des Kapitalismus beunruhigt die chinesischen Kommunisten.
vor,6309121,2356933;1881354;8195385,Leif Erikson entdeckte Nordamerika noch vor Christoph Kolumbus.
